Umpire,Nationality,First officiated,Last officiated,No. of Matches
K. N. Ananthapadmanabhan,India,2016,2021,45
Sudhir Asnani,India,2009,2013,31
Yeshwant Barde,India,2017,2021,23
Gary Baxter,New Zealand,2009,2009,7
Mark Benson,England,2008,2009,13
Krishnamachari Bharatan,India,2016,2016,3
Billy Bowden,New Zealand,2009,2014,38
Anil Chaudhary,India,2012,2021,100
Johan Cloete,South Africa,2012,2015,17
Anil Dandekar,India,2016,2021,32
Aleem Dar,Pakistan,2008,2014,38
Subroto Das,India,2013,2013,1
Steve Davis,Australia,2008,2008,7
Abhijit Deshmukh,India,2017,2018,12
Rajesh Deshpande,India,2014,2015,8
Kumar Dharmasena,Sri Lanka,2009,2018,94
Billy Doctrove,West Indies,2008,2012,44
Marais Erasmus,South Africa,2009,2019,66
Simon Fry,Australia,2015,2015,6
Chris Gaffaney,New Zealand,2015,2021,58
Ulhas Gandhe,India,2019,2021,11
Michael Gough,England,2021,2021,7
Ian Gould,England,2019,2019,6
Krishna Hariharan,India,2008,2011,21
Daryl Harper,Australia,2008,2010,28
Sanjay Hazare,India,2009,2014,17
Tony Hill,New Zealand,2011,2011,6
Ian Howell,South Africa,2008,2009,14
Richard Illingworth,England,2014,2021,40
Arani Jayaprakash,India,2008,2008,7
Brian Jerling,South Africa,2008,2010,18
Saiyed Khalid,India,2021,2021,2
Nand Kishore,India,2016,2019,25
Rudi Koertzen,South Africa,2008,2011,42
Vineet Kulkarni,India,2012,2020,51
Nigel Llong,England,2013,2019,37
Jayaraman Madanagopal,India,2021,2021,2
Nitin Menon,India,2016,2021,71
C. K. Nandan,India,2013,2021,59
Bruce Oxenford,Australia,2012,2019,48
Pashchim Pathak,India,2014,2020,11
G. A. Pratapkumar,India,2008,2008,6
Shashank Ranade,India,2009,2009,4
Asad Rauf,Pakistan,2008,2013,51
Sundaram Ravi,India,2009,2021,131
Paul Reiffel,Australia,2011,2021,28
Amiesh Saheba,India,2008,2011,27
Chettithody Shamshuddin,India,2012,2021,89
Tapan Sharma,India,2021,2021,3
Virender Sharma,India,2016,2021,37
Suresh Shastri,India,2008,2011,14
Ivaturi Shivram,India,2008,2008,6
Navdeep Singh,India,2021,2021,2
Krishnaraj Srinath,India,2013,2015,15
Krishnamachari Srinivasan,India,2015,2021,9
Shavir Tarapore,India,2009,2012,31
Simon Taufel,Australia,2009,2013,55
Russell Tiffin,Zimbabwe,2008,2011,30
Rod Tucker,Australia,2011,2019,46
Tyron Wijewardene,Sri Lanka,2009,2009,6
Subrat Das,India,2010,2013,13
